Wave,TAU_spectr_S,TAU_spectr_P,TAU_spectrpol,TAU_spectr,dichro_RHO,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
249.9,0.077872,0.053857,0.049849,0.068462,0.85885,0.92587,0.92587,0.92587,0.3179,0.26916,0.30123,0.57475,0.46949,0.53325,0.62524,0.87794,0.068462,0.0,0.0,5e-06,5.65e-20,3.1,3.1
250.1,0.065209,0.045024,0.041723,0.057298,0.85408,0.92587,0.92587,0.92587,0.27196,0.23017,0.25768,0.56772,0.46315,0.5265,0.62303,0.87806,0.057298,0.0,0.0,5e-06,5.65e-20,3.1,3.1
250.3,0.053036,0.03655,0.033916,0.046574,0.84934,0.92587,0.92587,0.92587,0.22603,0.19119,0.21412,0.5607,0.45682,0.51975,0.62079,0.87818,0.046574,0.0,0.0,5e-06,5.65e-20,3.1,3.1
250.5,0.13441,0.091653,0.085693,0.11767,0.84461,0.92587,0.92587,0.92587,0.58549,0.4907,0.55319,0.55367,0.45048,0.51299,0.61851,0.8783,0.11767,0.0,0.0,5e-06,5.65e-20,3.1,3.1
250.7,0.13815,0.094127,0.088058,0.12091,0.83987,0.92588,0.92588,0.92588,0.61526,0.51593,0.58142,0.54664,0.44414,0.50624,0.61621,0.87842,0.12091,0.0,0.0,5e-06,5.65e-20,3.1,3.1
250.9,0.14164,0.096409,0.090253,0.12391,0.83513,0.92588,0.92588,0.92588,0.64504,0.54116,0.60965,0.53962,0.43781,0.49949,0.61389,0.87854,0.12391,0.0,0.0,5e-06,5.65e-20,3.1,3.1
251.1,0.14496,0.098571,0.092343,0.12677,0.83096,0.92588,0.92588,0.92588,0.67482,0.5664,0.63788,0.53259,0.43147,0.49274,0.61155,0.87866,0.12677,0.0,0.0,5e-06,5.65e-20,3.1,3.1
251.3,0.14814,0.10062,0.094338,0.12951,0.82734,0.92588,0.92588,0.92588,0.70459,0.59163,0.66611,0.52556,0.42513,0.48599,0.60921,0.87878,0.12951,0.0,0.0,5e-06,5.65e-20,3.1,3.1
251.5,0.15109,0.1025,0.096181,0.13203,0.82373,0.92588,0.92588,0.92588,0.73437,0.61687,0.69434,0.51853,0.4188,0.47923,0.60687,0.8789,0.13203,0.0,0.0,5e-06,5.65e-20,3.1,3.1
251.7,0.14834,0.10043,0.094376,0.12954,0.82011,0.92588,0.92588,0.92588,0.73699,0.61877,0.69672,0.51151,0.41246,0.47248,0.60453,0.87902,0.12954,0.0,0.0,5e-06,5.65e-20,3.1,3.1
251.9,0.14274,0.096386,0.09074,0.12454,0.81649,0.92588,0.92588,0.92588,0.72498,0.60811,0.68519,0.50448,0.40612,0.46573,0.60221,0.87914,0.12454,0.0,0.0,5e-06,5.65e-20,3.1,3.1
252.1,0.13742,0.092547,0.08729,0.1198,0.8137,0.92589,0.92589,0.92589,0.71298,0.59746,0.67366,0.49745,0.39979,0.45898,0.59991,0.87926,0.1198,0.0,0.0,5e-06,5.65e-20,3.1,3.1
