Wave,TAU_spectr_S,TAU_spectr_P,TAU_spectr,dichro_RHO,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
139.73,0.067483,0.044806,0.059265,0.58054,0.89081,0.89066,0.89074,0.64191,0.44837,0.57472,0.81842,0.77835,0.80298,0.54636,0.72081,0.059265,0.0,4.988000000000002e-06,5e-06,6.7047000000000004e-21,3.1,3.1
139.93,0.07208,0.047289,0.063087,0.57854,0.89041,0.89026,0.89033,0.69363,0.48078,0.61992,0.81086,0.76788,0.79429,0.54702,0.7202099999999999,0.063087,0.0,4.9179999999999926e-06,5e-06,6.682699999999998e-21,3.1,3.1
140.13,0.076449,0.049604,0.0667,0.5757,0.89003,0.88989,0.88996,0.74536,0.51319,0.66512,0.80329,0.7574,0.78559,0.54767,0.71922,0.0667,0.0,4.841000000000002e-06,5e-06,6.6617e-21,3.1,3.1
140.33,0.078356,0.050097,0.068093,0.57241,0.88978,0.88963,0.88971,0.77441,0.52772,0.68945,0.79572,0.74693,0.7769,0.54831,0.7180199999999999,0.068093,0.0,4.770999999999995e-06,5e-06,6.640999999999998e-21,3.1,3.1
140.53,0.077208,0.048384,0.066772,0.56912,0.88955,0.88941,0.88948,0.76945,0.51544,0.68249,0.79236,0.74161,0.77278,0.54893,0.71682,0.066772,0.0,4.701000000000001e-06,5e-06,6.622000000000001e-21,3.1,3.1
140.73,0.078368,0.04855,0.067672,0.56583,0.88933,0.88918,0.88925,0.76448,0.50317,0.67552,0.81283,0.76547,0.79456,0.54955,0.71562,0.067672,0.0,4.638000000000002e-06,5e-06,6.6033e-21,3.1,3.1
140.93,0.07951,0.048653,0.068544,0.56254,0.88919,0.88904,0.88911,0.75952,0.49089,0.66855,0.83331,0.78934,0.81634,0.55015,0.7144199999999999,0.068544,0.0,4.570999999999995e-06,5e-06,6.585299999999999e-21,3.1,3.1
141.13,0.080442,0.04859,0.069227,0.56256,0.88908,0.88894,0.88901,0.74957,0.47553,0.65725,0.8525,0.81209,0.8369,0.55073,0.7149099999999999,0.069227,0.0,4.511000000000001e-06,5e-06,6.5667e-21,3.1,3.1
141.33,0.075993,0.045314,0.065313,0.56435,0.88898,0.88884,0.88891,0.69469,0.4324,0.60691,0.86442,0.82853,0.8506,0.5513,0.71631,0.065313,0.0,4.466999999999998e-06,5e-06,6.533299999999996e-21,3.1,3.1
141.53,0.071343,0.041833,0.061194,0.56615,0.88895,0.88881,0.88888,0.63981,0.38928,0.55658,0.87634,0.84497,0.86429,0.55186,0.71771,0.061194,0.0,4.437e-06,5e-06,6.494300000000001e-21,3.1,3.1
